"Export Settings","Configuración de exportación"
"Choose the website to export these orders","Elige el sitio web para exportar los pedidos"
"Run Export CSV","Exportar CSV"
"Yes", "Sí"
"No", "No"
"Until","Pedidos desde"
"1 week", "1 semana"
"2 weeks", "2 semanas"
"1 month", "1 mes"
"2 months", "2 meses"
"3 months", "3 meses"
"4 months", "4 meses"
"5 months", "5 meses"
"6 months", "6 meses"
"7 months", "7 meses"
"8 months", "8 meses"
"9 months", "9 meses"
"10 months", "10 meses"
"11 months", "11 meses"
"12 months", "12 meses"
"Request product\'s review?","¿Quieres solicitar la opinion de los productos?"
"Verified Reviews Tabs","Pestaña Opiniones Verificadas"
"Export","Exportar"
"Verified Reviews Form","Formulario Opiniones Verificadas"
"version","version"
"Form","Formulario"
"VerifiedReviews","Opiniones-Verificadas"
"Management","Gestión"
"Configuration","Configuración"
"Check Installation","Verificar instalación"
"You must set the configuration VerifiedReviews according to a website module. Select from the list on the left, the website that you want to set","Al activar el módulo, comenzarás a recuperar las opiniones para este sitio. Para recuperar las opiniones de los productos  continua con la configuración"
"System integration","Integración del sistema"
"Enable Module on this Website","Habilitar el módulo en el sitio web."
"By activating the module, you will reap your reviews sites. To harvest the products reviews, go to the last part of the configuration","Al activar el módulo, comenzarás a recuperar las opiniones para este sitio. Para recuperar las opiniones de los productos  continua con la configuración"
"IdWebsite","Id de la web"
"Secret Key","Clave secreta"
"Table Name","Nombre de la tabla"
"Status","Estatuto"
"Number of reviews","Núm. de opiniones"
"Average rating","Valor medio"
"View the trust certificate","Ver el certificado"
"More Reviews...","Más comentarios..."
"Product Reviews","Valoración de los productos"
"No reviews for this product.","No hay ninguna opinión para este producto."
"the","el"
"d/m/Y","d/m/A"
"Comments of","Opinión de"
"Webmaster","Webmaster"
"Moderator","Moderador"
"on","en"
"Show conversation","Ver las conversaciones"
"Hide conversation","Ocultar las conversaciones"
"%d Review(s)","%d Opiniones"
"%d Review","%d Opiniones"
"%d Reviews","%d Opiniones"
"See the review(s)","Ver las Opiniones"