"Export Settings","Export"
"Choose the website to export these orders","Choisissez le website dont vous voulez exporter les commandes"
"Run Export CSV","Lancer l'export"
"Yes", "Oui"
"No", "Non"
"Until","Commandes depuis"
"1 week", "1 semaine"
"2 weeks", "2 semaines"
"1 month", "1 mois"
"2 months", "2 mois"
"3 months", "3 mois"
"4 months", "4 mois"
"5 months", "5 mois"
"6 months", "6 mois"
"7 months", "7 mois"
"8 months", "8 mois"
"9 months", "9 mois"
"10 months", "10 mois"
"11 months", "11 mois"
"12 months", "12 mois"
"Request product\'s review?","Récolter des avis sur les produit ?"
"Verified Reviews Tabs","Avis Vérifiés"
"Export","Export"
"Verified Reviews Form","Configuration Avis Vérifiés"
"version","version"
"Form","Form"
"VerifiedReviews","AvisVérifiés"
"Management","Management"
"Configuration","Configuration"
"Check Installation","Vérifier Installation"
"You must set the configuration VerifiedReviews according to a website module. Select from the list on the left, the website that you want to set","Vous devez régler la configuration du module AvisVérifiés en fonction d'un website. Sélectionnez dans la liste déroulante à gauche, le website que vous souhaitez paramétrer"
"System integration","Intégration système"
"Enable Module on this Website", "Activer le module pour ce website"
"By activating the module, you will reap your reviews sites. To harvest the products reviews, go to the last part of the configuration","En activant le module, vous récolterez vos Avis Sites. Pour récolter les Avis Produits, rendez-vous dans la dernière partie de la configuration"
"IdWebsite","IdWebsite"
"Secret Key","Clé secrète"
"Table Name","Table Name"
"Status","Status"
"Table Orders Fields","Table Orders Fields"
"Table Fields Count","Table Fields Count"
"Check orders Table","Check orders Table"
"Number of reviews","Nombre d'avis"
"Average rating","Note moyenne"
"View the trust certificate","Afficher le certificat de confiance"
"More Reviews...","Plus de commentaires..."
"Product Reviews","Evaluations produits"
"No reviews for this product.","Aucun avis n'a encore été laissé sur ce produit."
"the","le"
"d/m/Y","d/m/Y"
"Comments of","Commentaire de"
"Webmaster","Webmaster"
"Moderator","Modérateurr"
"on","le"
"Show conversation","Afficher les échanges"
"Hide conversation","Masquer les échanges"
"%d Review(s)","%d Avis"
"%d Review","%d Avis"
"%d Reviews","%d Avis"
"See the review(s)","Voir les avis"